RCP,year,median,upper,lower
rcp45,2080,0.031505357518982535,0.5895467178746886,-0.6139609598872373
rcp45,2081,0.00792486077081378,0.6071378238590411,-0.6123197254468369
rcp45,2082,-0.008467761259783657,0.6083512773370197,-0.6690976665382551
rcp45,2083,0.0027183101158172462,0.5622694354792223,-0.6681506576687256
rcp45,2084,0.04097278928863801,0.6460306384710878,-0.6668626185190663
rcp45,2085,4.1921403239442157e-4,0.5872741384204484,-0.6974302616110415
rcp45,2086,-0.027552122851989935,0.5698273451777103,-0.7307185602279568
rcp45,2087,-0.004980760045318888,0.6563697229921625,-0.7260157380406955
rcp45,2088,-0.014683410597676527,0.5653441171682996,-0.7448595712117869
rcp45,2089,-0.016430345800799273,0.6252153947502535,-0.7580676770792565
rcp45,2090,-0.04144554288735591,0.6532695122221213,-0.8050066390327851
rcp45,2091,-0.007595454747036712,0.6823216828537942,-0.7808991009099461
rcp45,2092,-0.06471185753328967,0.6362078843473102,-0.8187952707219889
rcp45,2093,-0.042983601152386086,0.6382790296761601,-0.7810381413135573
rcp45,2094,-0.059707146020121726,0.6195550683651881,-0.8626965659203732
rcp45,2095,-0.051909530199843346,0.6064760589738479,-0.839015269524126
rcp45,2096,-0.021722256791807837,0.6329310851600097,-0.8474562622125723
rcp45,2097,-0.03439277033635868,0.6138694580261267,-0.8854047406286207
rcp45,2098,-0.07201812269300234,0.6223988922783056,-0.9246115034196798
rcp45,2099,-0.08937037457684838,0.6345462090083146,-0.9019166010406278
rcp45,2100,-0.10992094720262813,0.6257584123996213,-0.9827887767637516
rcp85,2015,0.002637962801335547,0.29051545936004647,-0.45652839944451207
rcp85,2016,0.01429144327267906,0.2841531430347924,-0.4019730285998566
rcp85,2017,0.014184947046501861,0.3456445364919848,-0.354401521360376
rcp85,2018,0.02900858406473361,0.3622656001046007,-0.2929687467750025
rcp85,2019,0.029378390594185788,0.32735232875590914,-0.21393490163384002
rcp85,2020,0.051487608344544356,0.3837764605762905,-0.22069682727443193
rcp85,2021,0.0480636566754562,0.38485362308997645,-0.1994774090121812
rcp85,2022,0.06928258296566625,0.4096795801187287,-0.1123673490310221
rcp85,2023,0.07298095853980868,0.42802401795925454,-0.11201562579861388
rcp85,2024,0.09561598758315171,0.46828089884027707,-0.09613120278417746
rcp85,2025,0.12905775591956115,0.4815154706884399,-0.07563334444126575
rcp85,2026,0.13374402406402908,0.5067996491973559,-0.10769707476816244
rcp85,2027,0.14418229199907628,0.5005962328455319,-0.10028222401556838
rcp85,2028,0.15756446932308776,0.5422918153307382,-0.06856908404580242
rcp85,2029,0.1909448543391008,0.5616842988187091,-0.0940745750103847
rcp85,2030,0.2058381081867502,0.6172437827756343,-0.07208618468913883
rcp85,2031,0.22436130231076135,0.6214946172839246,-0.08934384926678884
rcp85,2032,0.2408911763670325,0.6446465519128913,-0.09511508565314397
rcp85,2033,0.25596644380576805,0.6504826270260466,-0.10191096844894715
rcp85,2034,0.2631775092130191,0.665158901036792,-0.1207124000122601
rcp85,2035,0.2909682768571322,0.6637295875673007,-0.12463205394177272
rcp85,2036,0.29968779194052075,0.7073971333952802,-0.12995570408915355
rcp85,2037,0.3089414613641175,0.7164308478156175,-0.17662800182871904
