scenario,year,month,median,upper,lower
hist-nat,1921,Jan,0.45550899802010036,0.996302654644156,-0.1914465082708437
hist-nat,1921,Jul,-0.9211284541046858,-0.1835413994161238,-1.7707426694941097
hist-nat,1921,Jun,-0.7283023515972076,-0.08102698293522413,-1.4824570074607089
hist-nat,1921,Mar,-0.03716773650104699,0.5911459145678494,-0.7671439730770714
hist-nat,1921,May,-0.3822608478020477,0.08640882862893294,-0.8984041784870502
hist-nat,1921,Nov,0.9455649327470717,1.558153941886585,0.38754267707924483
hist-nat,1921,Oct,0.7004515091941208,1.2985191458358083,0.08400123038853204
hist-nat,1921,Sep,0.0022603549483726226,0.5139835496161917,-0.3809212770902673
hist-nat,1922,Apr,-0.003980697820530565,0.6501423641744303,-0.6855443764709587
hist-nat,1922,Aug,-0.5961005164935429,-0.0958548001227769,-1.194698394422668
hist-nat,1922,Dec,0.6717889636752723,1.2770833251484073,0.2641531279207392
hist-nat,1922,Feb,0.23721292006616324,0.8626853545758496,-0.5505364693070035
hist-nat,1922,Jan,0.5174589308609434,1.105703738065097,-0.021634704837622108
hist-nat,1922,Jul,-0.9174560215982197,-0.19315403606526102,-1.711236577310703
hist-nat,1922,Jun,-0.6832639309749915,-0.12389549171231447,-1.3671395727419338
hist-nat,1922,Mar,0.09064400562875718,0.7156326500887169,-0.6099277610577397
hist-nat,1922,May,-0.2321064023133772,0.22763683010526078,-0.8251587633257841
hist-nat,1922,Nov,0.7954311112317036,1.6210758865638937,0.27681988721157275
hist-nat,1922,Oct,0.6548065430255399,1.4209425173390073,0.10255871015586956
hist-nat,1922,Sep,0.06465243127458287,0.4838158577092015,-0.34218743621676884
hist-nat,1923,Apr,-0.1948383716884976,0.42197962393973454,-0.9209260013355226
hist-nat,1923,Aug,-0.5858225027676198,-0.03693744451647154,-1.418475117873135
hist-nat,1923,Dec,0.8103490696381108,1.2681549782259596,0.4006506132166006
hist-nat,1923,Feb,0.10996024972684637,0.6039183974301039,-0.7259000387675588
hist-nat,1923,Jan,0.3888947494900563,0.9217315097344757,-0.12509726285193246
hist-nat,1923,Jul,-0.9414524880363011,-0.23263907870564504,-1.8597023530129426
hist-nat,1923,Jun,-0.7681664557776102,-0.07103537444484388,-1.487968916890588
hist-nat,1923,Mar,-0.02022018387047453,0.5786899971529973,-0.6723650950025019
hist-nat,1923,May,-0.3901582790308247,0.1397852170074034,-1.1485100722773178
hist-nat,1923,Nov,0.9040707331046409,1.5490834305231478,0.39052468559114434
hist-nat,1923,Oct,0.6450929397912297,1.2688090627216466,0.16697521633555007
hist-nat,1923,Sep,0.01998087432461837,0.48845259140674613,-0.5458048378232124
hist-nat,1924,Apr,-0.11324456979120612,0.5177882430381078,-0.8206237722355472
hist-nat,1924,Aug,-0.7146474229126802,-0.18068069662968658,-1.386174489062281
hist-nat,1924,Dec,0.731139071349503,1.1906961273043069,0.2584800445606373
hist-nat,1924,Feb,0.1858756581910086,0.7137312500389882,-0.47521995236546816
hist-nat,1924,Jan,0.47041040746254836,1.073310554243392,-0.007607781386509744
hist-nat,1924,Jul,-0.9934427634792797,-0.23740566895662107,-1.783790155312803
hist-nat,1924,Jun,-0.7691944867126104,-0.18344414861083924,-1.541698127116226
hist-nat,1924,Mar,0.10491285816540241,0.7894314036744752,-0.5857631222889104
hist-nat,1924,May,-0.4027334981945323,0.09439003359530516,-1.0260775106070088
hist-nat,1924,Nov,0.9738681193785013,1.5101329190594759,0.4653841448624275
hist-nat,1924,Oct,0.7368610097503332,1.3639698923050922,0.1330401772064963
hist-nat,1924,Sep,0.06409786820191599,0.5738681411170318,-0.45670046146791526
hist-nat,1925,Apr,-0.25965577478797286,0.4537899110456347,-0.8676880113505564
hist-nat,1925,Aug,-0.6314558562311561,-0.02626373964711881,-1.3913010602306817
hist-nat,1925,Dec,0.7443779658787726,1.2416506012761173,0.1929750402581572
hist-nat,1925,Feb,0.05512746450604311,0.7483240426817661,-0.6135677816886429
hist-nat,1925,Jan,0.3978663244189704,0.9634831555874317,-0.20690440470114668
hist-nat,1925,Jul,-0.9591750106678241,-0.18583928624032084,-1.9051670030435142
hist-nat,1925,Jun,-0.8284256331696902,-0.1818127881116559,-1.5635949297798497
hist-nat,1925,Mar,-0.09380503943249607,0.5227093947874311,-0.8689797289959751
hist-nat,1925,May,-0.31018025377999514,0.1708541576485753,-0.9185391976280535
hist-nat,1925,Nov,0.9496690743440048,1.550324460397675,0.4690573606683433
hist-nat,1925,Oct,0.8431266380366154,1.4228321483018924,0.3398357101798107
hist-nat,1925,Sep,0.09604947245242457,0.5258844892678961,-0.4219169534194254
hist-nat,1926,Apr,-0.1337930488756367,0.4398957364217031,-0.7134884216111733
hist-nat,1926,Aug,-0.5664908747332618,-0.05554665705471614,-1.2254850586687522
hist-nat,1926,Dec,0.7151593415188522,1.1564339057857334,0.31375567647955016
hist-nat,1926,Feb,2.861525837651868e-4,0.5896556430540483,-0.6789377710668142
hist-nat,1926,Jan,0.34703819877409003,0.9400748286837504,-0.2549054896014912
hist-nat,1926,Jul,-0.8832194191504605,-0.18276566004143754,-1.6632717672709112
hist-nat,1926,Jun,-0.7155763660653243,-0.08580648449081561,-1.4036141087808396
hist-nat,1926,Mar,-0.07856898150870606,0.5527591973698605,-0.7775261610691153
hist-nat,1926,May,-0.42865417184254007,0.11593998290195519,-1.0214784156029608
hist-nat,1926,Nov,0.8220288771818716,1.4168328549699598,0.3459202386710697
hist-nat,1926,Oct,0.6913910586015497,1.3340538146890235,0.1290520334416462
hist-nat,1926,Sep,0.16423565158380526,0.5962359768624538,-0.31407301810879246
hist-nat,1927,Apr,-0.1474424283059257,0.47907798045357297,-0.8633685269105974
hist-nat,1927,Aug,-0.6708262636299231,-0.17395929427873436,-1.2535704550772364
hist-nat,1927,Dec,0.7428549826818021,1.224616154759108,0.30803214704494336
hist-nat,1927,Feb,0.060115151335040196,0.6904977095453597,-0.5984035129988321
hist-nat,1927,Jan,0.5034228691527431,1.0997859258049985,-0.03514270885686021
hist-nat,1927,Jul,-1.0391785663173287,-0.32836140995873936,-1.9670370563448583
hist-nat,1927,Jun,-0.7721592264533079,-0.133810315862423,-1.4711972181782584
hist-nat,1927,Mar,-0.06177381452702946,0.6053024444655705,-0.7209566560848508
