scenario,region,year,median,upper,lower
ssp126,Sub-Saharan Africa (West),2034,-0.27093543228389727,0.06353075928861888,-0.64131682159911
ssp126,Sub-Saharan Africa (West),2035,-0.32667919236043375,-0.08884468613416754,-0.7359303894316163
ssp126,Sub-Saharan Africa (West),2036,-0.33087186552665315,-0.08930058188307563,-0.7214708458390859
ssp126,Sub-Saharan Africa (West),2037,-0.4349213017497835,-0.1638624880716556,-1.090846418298428
ssp126,Sub-Saharan Africa (West),2038,-0.33657566328534827,-0.0342697551312805,-0.8955777950819829
ssp126,Sub-Saharan Africa (West),2039,-0.3171199378532954,-0.04463769900065149,-0.7338956990226138
ssp126,Sub-Saharan Africa (West),2040,-0.3208276938739303,-0.03286941160969939,-0.8736816562552032
ssp126,Sub-Saharan Africa (West),2041,-0.2818145853112135,-0.02362472964352922,-0.6249485989362782
ssp126,Sub-Saharan Africa (West),2042,-0.3488731949102508,-0.09315739987017693,-0.7414911255870933
ssp126,Sub-Saharan Africa (West),2043,-0.4005220903537339,-0.10511429958228553,-1.0109535194079557
ssp126,Sub-Saharan Africa (West),2044,-0.36230001057644756,-0.037363168730981104,-0.7890979343395724
ssp126,Sub-Saharan Africa (West),2045,-0.2922394420251795,-0.02443951395686746,-0.6632095393970644
ssp126,Sub-Saharan Africa (West),2046,-0.3672701110099723,-0.04999451950597554,-0.8669866158178121
ssp126,Sub-Saharan Africa (West),2047,-0.34502394828110283,1.9237746552425218e-4,-0.8687615031932694
ssp126,Sub-Saharan Africa (West),2048,-0.36565974115628563,-0.08511463454598961,-1.0186741637753276
ssp126,Sub-Saharan Africa (West),2049,-0.3956446058867371,-0.05563028131724922,-0.8292939637762657
ssp126,Sub-Saharan Africa (West),2050,-0.46382344188928215,-0.12112488535236358,-0.9397617797312587
ssp126,Sub-Saharan Africa (West),2051,-0.45504563544118426,-0.08388119009382394,-1.016083399606027
ssp126,Sub-Saharan Africa (West),2052,-0.37783852247835625,-0.09725805581995425,-0.8888656789240492
ssp126,Sub-Saharan Africa (West),2053,-0.3673198783752234,-0.08904966490420999,-1.1131967077919156
ssp126,Sub-Saharan Africa (West),2054,-0.4416672622077442,-0.16525957120581244,-1.2131196265395787
ssp126,Sub-Saharan Africa (West),2055,-0.39968695514764363,-0.02594363040953668,-0.8129254232558007
ssp126,Sub-Saharan Africa (West),2056,-0.4572635494590429,-0.10628297099009722,-1.1493870559013997
ssp126,Sub-Saharan Africa (West),2057,-0.48129073549383605,-0.15974330345384402,-1.0471747787644834
ssp126,Sub-Saharan Africa (West),2058,-0.3874037407066666,-0.13705089416512667,-1.0825903773388308
ssp126,Sub-Saharan Africa (West),2059,-0.3865865123578125,-0.14288413122223179,-1.052760529543037
ssp126,Sub-Saharan Africa (West),2060,-0.4712730204327613,-0.07939145220577587,-1.149969671954087
ssp126,Sub-Saharan Africa (West),2061,-0.4581596271060384,-0.022323155809829156,-1.0072216761957002
ssp126,Sub-Saharan Africa (West),2062,-0.4426908137415424,-0.15280164004734437,-1.1177473917059315
ssp126,Sub-Saharan Africa (West),2063,-0.4728543575847759,-0.12414540066613848,-1.2302011703910676
ssp126,Sub-Saharan Africa (West),2064,-0.44197710733250517,-0.1004660194866484,-1.335204799300012
ssp126,Sub-Saharan Africa (West),2065,-0.39822831975096307,-0.11425073701468141,-1.0770875872201138
ssp126,Sub-Saharan Africa (West),2066,-0.5848603070782659,0.07695209897457084,-1.1581353918851636
ssp126,Sub-Saharan Africa (West),2067,-0.4787164694393624,-0.06626046631009505,-1.47756321675183
ssp126,Sub-Saharan Africa (West),2068,-0.44349160105408103,2.500071625746244e-4,-1.0025050299046134
ssp126,Sub-Saharan Africa (West),2069,-0.5753054608615287,-0.04081128819235548,-1.1128946663208605
ssp126,Sub-Saharan Africa (West),2070,-0.609733531322167,-0.1516817114853355,-1.097497920110489
ssp126,Sub-Saharan Africa (West),2071,-0.46275713049027445,-0.10040151942678188,-1.3451827370589788
ssp126,Sub-Saharan Africa (West),2072,-0.41270606298800416,-0.0620082459503014,-1.0127017902111135
ssp126,Sub-Saharan Africa (West),2073,-0.4397864882870195,-0.12963124350162972,-1.101957805985947
ssp126,Sub-Saharan Africa (West),2074,-0.4761800065211297,-0.170812000346348,-0.9811498780734649
ssp126,Sub-Saharan Africa (West),2075,-0.5452386047882669,-0.026122043032953148,-1.0235249093132492
ssp126,Sub-Saharan Africa (West),2076,-0.41927769569219464,-0.11357818151029964,-1.1609648128672465
ssp126,Sub-Saharan Africa (West),2077,-0.6747925559063219,-0.20165223781303762,-1.2194210875811793
ssp126,Sub-Saharan Africa (West),2078,-0.5062818175797803,-0.0303758932409373,-1.1908470987972284
ssp126,Sub-Saharan Africa (West),2079,-0.4462656583642719,0.05001209888623061,-1.2899028539806996
ssp126,Sub-Saharan Africa (West),2080,-0.5414145645023503,0.023938386156689258,-1.0965973560761415
ssp126,Sub-Saharan Africa (West),2081,-0.5272546802499569,-0.1729228508032152,-0.9858847725537153
ssp126,Sub-Saharan Africa (West),2082,-0.6482936233906571,-0.07339332355579152,-1.1852076746133173
ssp126,Sub-Saharan Africa (West),2083,-0.498220176607326,-0.16125850095057298,-1.0723097210538333
ssp126,Sub-Saharan Africa (West),2084,-0.5401755922050473,-0.17197152579019517,-1.1729034165113337
ssp126,Sub-Saharan Africa (West),2085,-0.4198447541455934,-0.08050164202137544,-1.2165366221040792
ssp126,Sub-Saharan Africa (West),2086,-0.4988303535474756,0.022476947931727633,-1.2698121659998092
ssp126,Sub-Saharan Africa (West),2087,-0.46673350238972233,-0.04172391284973345,-1.282198053109293
ssp126,Sub-Saharan Africa (West),2088,-0.39795212582012596,-0.03367106302604902,-1.1293306500758393
ssp126,Sub-Saharan Africa (West),2089,-0.5409149287465027,-0.11343095681329568,-1.052160594895146
ssp126,Sub-Saharan Africa (West),2090,-0.494547808862162,-0.13850486220705568,-1.264777311119752
ssp126,Sub-Saharan Africa (West),2091,-0.4464695265168288,-0.10402436745861172,-1.0703915124977945
ssp126,Sub-Saharan Africa (West),2092,-0.43078045117596986,-0.005831195124260461,-1.1831430528979334
