scenario,year,median,upper,lower
ssp585,2081,-1.1442583103291533,-0.10324526287868617,-2.768140998710801
ssp585,2082,-1.0741307653998184,-0.034660441209969396,-2.741138191831623
ssp585,2083,-0.9756369887084162,0.05937817043556958,-2.623797259704137
ssp585,2084,-1.15522886716332,-0.03227913564445722,-3.104747596509321
ssp585,2085,-1.1939376198665093,-0.11024688433923223,-3.013552313140042
ssp585,2086,-1.2320278120826735,-0.10594015558351669,-2.954312046866418
ssp585,2087,-1.2015113678755114,-0.059113200976574576,-3.194314602500129
ssp585,2088,-1.265652073293852,-0.09595230568443483,-3.436608082857564
ssp585,2089,-1.297747364219278,-0.10222915872647227,-3.3580801419829878
ssp585,2090,-1.313810298504471,-0.14473938037856496,-3.4760136606437624
ssp585,2091,-1.4253754445714897,-0.18010040223943993,-3.579583266213914
ssp585,2092,-1.4088151236188189,-0.20546174506775663,-3.5465295123906695
ssp585,2093,-1.5028776097480474,-0.2587709652448569,-3.6186164068591573
ssp585,2094,-1.6052734081971245,-0.2253411035113679,-3.9483714860503456
ssp585,2095,-1.5733394142348516,-0.25767708392196864,-4.055446321288365
ssp585,2096,-1.571053607862071,-0.2091854310972334,-4.301890045840785
ssp585,2097,-1.5671603206000277,-0.23180615126102344,-3.9214361229143715
ssp585,2098,-1.782916663884567,-0.3085296508211595,-4.4449826065304405
ssp585,2099,-1.6839496373038614,-0.2596729474466395,-4.6891179553872595
ssp585,2100,-1.6310052716566172,-0.2702060507613965,-4.5417138053148145
